token	lemma	pos	msd	msd_morph	msd_mode	msd_temps	msd_pers	msd_nomb	msd_genre	msd_cas	norm	ner	
A	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind|		PERS.=3	NOMB.=s			À	O	
MONSEIGNEVR	monsiegnevr	NOMpro	NOMB.=s					NOMB.=s			MONSEIGNEUR	B-pers	
LE	le	PROper	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		LE	O	
DVC	dVc	NOMpro	GENRE=f						GENRE=f		DUC	O	
D’	de	PRE	MORPH=empty	MORPH=empty									
ESPERNON	espernon	NOMpro	GENRE=m						GENRE=m		ÉPERNON	B-pers	
.	.	PONfrt	MORPH=empty	MORPH=empty							.	O	
Lettre	lettre	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		Lettre	O	
I	I	PONfrt	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m		I	O	
.	.	PONfrt	MORPH=empty	MORPH=empty							.	O	
Monseignevr	monseignevr	VERinf	NOMB.=s					NOMB.=s			Monseigneur	B-pers	
,	,	PONfbl	MORPH=empty	MORPH=empty							,	O	
Quand	quand	CONsub	MORPH=empty	MORPH=empty							Quand	O	
ie	je	PROper	NOMB.=s					NOMB.=s			je	O	
ne	ne	ADVneg	MORPH=empty	MORPH=empty							ne	O	
ſerois	être	VERcjg	MODE=con|PERS.=2|NOMB.=s		MODE=con|		PERS.=2	NOMB.=s			serais	O	
pas	pas	ADVneg	MORPH=empty	MORPH=empty							pas	O	
nay	nay	VERppe	MORPH=empty	MORPH=empty							né	O	
cõme	chme	CONsub	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		comme	O	
ie	je	PROper	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		je	O	
ſuis	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s		MODE=ind|		PERS.=1	NOMB.=s			suis	O	
,	,	PONfbl	MORPH=empty	MORPH=empty							,	O	
voſtre	vôtre	VERinf	NOMB.=s					NOMB.=s			votre	O	
tres	tres	ADVgen	NOMB.=s					NOMB.=s			très	O	
-	-	PONfbl	GENRE=m						GENRE=m				
humble	humble	ADJqua	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f		humble	O	
ſeruiteur	seruiteur	NOMcom	NOMB.=s					NOMB.=s			serviteur	O	
,	,	PONfbl	MORPH=empty	MORPH=empty							,	O	
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n				PERS.=3	NOMB.=s	GENRE=m	CAS=n	il	O	
