token	lemma	pos	msd	msd_morph	msd_mode	msd_temps	msd_pers	msd_nomb	msd_genre	msd_cas
L'	le	DETdef	NOMB.=s					NOMB.=s		
OBIET	objet	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
DE	de	PRE	MORPH=empty	MORPH=empty						
LA	le	DETdef	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
HAINE	haine	NOMpro	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
PVBLIQVE	publive	NOMpro	NOMB.=s					NOMB.=s		
OV	ou	ADJcar	NOMB.=s					NOMB.=s		
LA	le	DETdef	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
HONTE	honte	NOMpro	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
DV	de_le	PRE.DETdef	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
MINISTRE	ministre	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
D'	de	PRE	MORPH=empty	MORPH=empty						
ESTAT	état	NOMpro	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
DE’	de	CONsub	MORPH=empty	MORPH=empty						
COVVERTE	COVVERTE	NOMpro	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
.	.	PONfrt	MORPH=empty	MORPH=empty						
A	à	PRE	MORPH=empty	MORPH=empty						
PARIS	Paris	NOMpro	NOMB.=s					NOMB.=s		
,	,	PONfbl	MORPH=empty	MORPH=empty						
Chez	chez	PRE	MORPH=empty	MORPH=empty						
FRANCOIS	français	NOMpro	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
MVSNIER	Müsnier	NOMpro	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
,	,	PONfbl	MORPH=empty	MORPH=empty						
au	à_le	PRE.DETdef	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
mont	mont	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
ſainct	saint	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
Hilaire	Hilaire	NOMpro	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
.	.	PONfrt	MORPH=empty	MORPH=empty						
1649	1649	PROcar	MORPH=empty	MORPH=empty						
.	.	PONfrt	MORPH=empty	MORPH=empty						
2	2	INJ	MORPH=empty	MORPH=empty						
L’	le	DETdef	NOMB.=s					NOMB.=s		
OBIET	objet	NOMcom	NOMB.=s|GENRE=m					NOMB.=s	GENRE=m	
DE	de	PRE	MORPH=empty	MORPH=empty						
LA	le	DETdef	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
AINE	aine	NOMpro	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
PVBLIQVE	publive	NOMpro	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
,	,	PONfbl	MORPH=empty	MORPH=empty						
ou	ou	CONcoo	MORPH=empty	MORPH=empty						
la	le	DETdef	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
honte	honte	NOMcom	NOMB.=s|GENRE=f					NOMB.=s	GENRE=f	
das	das	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s		MODE=ind	TEMPS=pst	PERS.=3	NOMB.=s		
